Kategorie;Komando;Funktionsbeschreibung;Hinweis
Magic Panel;*MF00;Magic Panel ausschalten;
Magic Panel;*MF01;Magic Panel Dauerlicht;5 Sekunden
Magic Panel;*MF02;Magic Panel Toggle;5 Sekunden
Magic Panel;*MF03;Magic Panel Flash;5 Sekunden
Magic Panel;*MF04;Magic Panel Alarm;5 Sekunden
Magic Panel;*MF05;Magic Panel horizontaler Scan;5 Sekunden
Magic Panel;*MF06;Magic Panel vertikaler Scan;5 Sekunden
Magic Panel;*MF07;Magic Panel Game of Life;
Magic Panel;*MF08;Magic Panel Expand Solid;5 Sekunden
Magic Panel;*MF09;Magic Panel Collapse Solid;5 Sekunden
Magic Panel;*MF10;Magic Panel Expand Hollow;5 Sekunden
Magic Panel;*MF11;Magic Panel Collapse Hollow;5 Sekunden
Magic Panel;*MF12;Magic Panel Forward Q;5 Sekunden
Magic Panel;*MF13;Magic Panel Reverse Q;5 Sekunden
Magic Panel;*MF14;Magic Panel Cistercian;5 Sekunden
Panels;:CL00;Alle Dome-Panels schließen;
Panels;:OP00;Alle Dome-Panels öffnen;
Panels;:OF00;Alle Dome-Panels flattern lassen;Nicht mit *OF00 verwechseln
Panels;:OP01;Panel-Gruppe 1 öffnen;
Panels;:OP02;Panel-Gruppe 2 öffnen;
Panels;:OP03;Panel-Gruppe 3 öffnen;
Panels;:OP04;Panel-Gruppe 4 öffnen;
Panels;:OP05;Panel-Gruppe 5 öffnen;
Panels;:OP06;Panel-Gruppe 6 öffnen;
Panels;:OP07;Panel-Gruppe 7 öffnen;
Panels;:OP08;Panel-Gruppe 8 öffnen;
Panels;:OP09;Panel-Gruppe 9 öffnen;
Panels;:OP10;Panel-Gruppe 10 öffnen;
Panels;:OP11;Obere Pie-Panels öffnen;
Panels;:OP12;Untere Dome-Panels öffnen;
Panels;:CL01;Panel-Gruppe 1 schließen;
Panels;:CL02;Panel-Gruppe 2 schließen;
Panels;:CL03;Panel-Gruppe 3 schließen;
Panels;:CL04;Panel-Gruppe 4 schließen;
Panels;:CL05;Panel-Gruppe 5 schließen;
Panels;:CL06;Panel-Gruppe 6 schließen;
Panels;:CL07;Panel-Gruppe 7 schließen;
Panels;:CL08;Panel-Gruppe 8 schließen;
Panels;:CL09;Panel-Gruppe 9 schließen;
Panels;:CL10;Panel-Gruppe 10 schließen;
Panels;:CL11;Obere Pie-Panels schließen;
Panels;:CL12;Untere Dome-Panels schließen;
Panels;:OF01;Panel-Gruppe 1 flattern lassen;
Panels;:OF02;Panel-Gruppe 2 flattern lassen;
Panels;:OF03;Panel-Gruppe 3 flattern lassen;
Panels;:OF04;Panel-Gruppe 4 flattern lassen;
Panels;:OF05;Panel-Gruppe 5 flattern lassen;
Panels;:OF06;Panel-Gruppe 6 flattern lassen;
Panels;:OF07;Panel-Gruppe 7 flattern lassen;
Panels;:OF08;Panel-Gruppe 8 flattern lassen;
Panels;:OF09;Panel-Gruppe 9 flattern lassen;
Panels;:OF10;Panel-Gruppe 10 flattern lassen;
Holo numerisch;0;Sequenz zurücksetzen und Holos ausschalten;
Holo numerisch;1;Vorderes Holo weißer Puls;
Holo numerisch;2;Vorderes Holo nach unten mit Leia-Effekt;
Holo numerisch;4;Vorderes Holo nach links mit Puls-Effekt;
Holo numerisch;5;Vorderes Holo zentrieren;
Holo numerisch;6;Vorderes Holo nach rechts mit Rainbow-Effekt;
Holo numerisch;7;Vorderes Holo nicken lassen;
Holo numerisch;8;Vorderes Holo nach oben mit Kurzschluss-Effekt;
Holo Ein/Aus;*ON00;Alle Holos einschalten;
Holo Ein/Aus;*ON01;Vorderes Holo einschalten;
Holo Ein/Aus;*ON02;Hinteres Holo einschalten;
Holo Ein/Aus;*ON03;Oberes Holo einschalten;
